Stacks (Top Floor)	Stacks (Top Floor)
New Books	New Books
Oversize (Main Floor)	Oversize (Main Floor)
Kalevitch Collection	Kalevitch Collection
Ask at Circulation 
DVD (Service Desk) 
Dissertations (Main Floor) 
Juvenile - Easy 
Juvenile Fiction 
Juvenile Nonfiction 
Pedagogy 
Popular Reading (Main Floor) 
Reference 
Reserves 
Textbook Reserve
