AnnenLib annb	Annenberg Library
MuseumLib muserese	MuseumLib muserese
MusicLib musiclist	MusicLib musiclist
MusicLib musicrese	MusicLib musicrese
MusicLib musicsem	Van Pelt - Marian Anderson Music Study Center (452)
MusicLib musictech	MusicLib musictech
MusicLib musinwbk	MusicLib musinwbk
MusicLib musisemres	MusicLib musisemres
PAHospLib pah	PAHospLib pah
PAHospLib pahhist	PAHospLib pahhist
PAHospLib pahiph	PAHospLib pahiph
PAHospLib pahiphf	PAHospLib pahiphf
PAHospLib pahiphhist	PAHospLib pahiphhist
PAHospLib pahiphref	PAHospLib pahiphref
PAHospLib pahiphrr	PAHospLib pahiphrr
PAHospLib pahiphstk	PAHospLib pahiphstk
PAHospLib pahref	PAHospLib pahref
PAHospLib pahres	PAHospLib pahres
ROTCLib rotc	ROTCLib rotc
UnivArcLib univarch	UnivArcLib univarch
VanPeltLib afro	Van Pelt - Africana Studies Resource Room (305)
VanPeltLib classics	Van Pelt - Classics Resource Room (301)
VanPeltLib easiacmx	VanPeltLib easiacmx
VanPeltLib easiaover	Van Pelt - East Asia Oversize
VanPeltLib easiasem	VanPeltLib easiasem
VanPeltLib eastasia	Van Pelt - East Asia Stacks
VanPeltLib judaica	Van Pelt - Judaica/Ancient Near East Resource Room (401)
VanPeltLib medieval	Van Pelt - Medieval Studies Resource Room (405)
VanPeltLib mideast	VanPeltLib mideast
VanPeltLib sasiarefe	VanPeltLib sasiarefe
VanPeltLib slavic	VanPeltLib slavic
VanPeltLib staffuse	VanPeltLib staffuse
VanPeltLib unknownloc	VanPeltLib unknownloc
VanPeltLib vanp	Van Pelt - Stacks
VanPeltLib vanpNocirc	Van Pelt - Stacks (ETAS)
VanPeltLib vanpbest	VanPeltLib vanpbest
VanPeltLib vanpinfo	VanPeltLib vanpinfo
VanPeltLib vanpmicro	VanPeltLib vanpmicro
VanPeltLib vanporig	VanPeltLib vanporig
VanPeltLib vanpvideo	VanPeltLib vanpvideo
VanPeltLib vpcirc	VanPeltLib vpcirc
VanPeltLib vpnewbook	Van Pelt Library - New Book Display
VanPeltLib vpref	Van Pelt - Reference
VanPeltLib vprefbip	VanPeltLib vprefbip
VanPeltLib vpreffin	VanPeltLib vpreffin
VanPeltLib vprefmoel	VanPeltLib vprefmoel
VanPeltLib vprefover	Van Pelt - Reference - Oversize
VanPeltLib vpresdesk	VanPeltLib vpresdesk
VanPeltLib vpwicref	VanPeltLib vpwicref
VanPeltLib women	VanPeltLib women
VanPeltLib woody	VanPeltLib woody
VanPeltLib yarn	Van Pelt - Yarnall Collection
VetNBLib newb	VetNBLib newb
VetNBLib newbofc	VetNBLib newbofc
VetNBLib newbrare	VetNBLib newbrare
VetNBLib newbrese	VetNBLib newbrese
VetPennLib vete	VetPennLib vete
VetPennLib vetedisp	VetPennLib vetedisp
VetPennLib vetelibr	VetPennLib vetelibr
VetPennLib veteover	VetPennLib veteover
VetPennLib veterefe	VetPennLib veterefe
VetPennLib veterese	VetPennLib veterese
VetPennLib veteresov	VetPennLib veteresov
