BOARDGAME 
CDROM 
CHDVD 
COMPACTDSC 
CONSHEALTH 
COOK 
COOK EASY 
COOKOVRSIZ 
COOKTHESIS 
DEPOSITORY 
DEWEY 
DVD 
EAFOLIO 
EAOVRSIZE 
EASTASIAN 
EVANS 
EVANSCDROM 
EVANSCIA 
EVANSSPEC 
FELDATBKR 
FOLIO 
GOVDOCS 
HARVARDCOL 
JAPAN 
JONESMSTR 
JPNREF 
KOREA 
MUSREF 
NASH 
NOTCATRSRV 
OLD DART 
OVERSIZE 
PERMRSRV 
PHONODISC 
PHONOTAPE 
PHYSSCIJOU 
PHYSSCITHE 
POPSCI 
REFERENCE 
RESERVEFCH 
SPECIAL 
STACKS 
TOWERROOM 
TOWERROOMT 
VIDEOTAPE 
W1926 
WALU 
WBIE 
WBIN 
WBRL 
WBRO 
WBRY 
WBUR 
WCAD 
WCAL 
WCAN 
WCHN 
WCHSB 
WCON 
WCRA 
WDCH 
WDCL 
WDCO 
WDCT 
WDEW 
WEBE 
WEDT 
WFRO 
WGIL 
WHEW 
WHIC 
WHUD 
WHUX 
WILL 
WINC 
WLAN 
WLAW 
WLIN 
WLOG 
WLON 
WMAN 
WMCG 
WMEL 
WMEN 
WMFR 
WMIN 
WMNC 
WMST 
WMWE 
WNAM 
WNCA 
WNCN 
WNDO 
WNEX 
WNHI 
WNMR 
WNNA 
WNPO 
WNPT 
WNST 
WNSV 
WNWL 
WOLI 
WONE 
WPRE 
WPREB 
WQUI 
WRAB 
WRAI 
WRAUA 
WRAUB 
WRAUI 
WRAUV 
WRAUZ 
WRED 
WROB 
WROI 
WROL 
WRRF 
WRUZ 
WSCH 
WSCR 
WSEF 
WSHE 
WSIN 
WSIS 
WSMJ 
WSTA 
WSTE 
WSTV 
WTAG 
WTHO 
WTHS 
WTIC 
WTOM 
WVAL 
WWEB 
WWEBS 
WWHI 
WWIL 
WWLW 
WWOO 
