English 18 
English 19 
English 20 
European 18 
GRAD 
MAIN 
Manuscripts 
Non-Roman -- Chinese 
Non-Roman -- Japanese
Non-Roman -- Japanese 
OFFAD 
Oversize
Oversize 
Pamphlets -- European 20 -- Turkish -- Box 3 
Pamphlets -- Non-Roman -- Hebrew -- Box 5 
Pams / NR / Chinese / Box 253 
Pams / NR / Japanese / Box 135 
Pams / NR / Japanese / Box 24 
Pams / NR / Korean / Box 3 
Pams / NR 20 / Arabic / Box 8 
Pams / NR 20 / Chinese / Box 104 
Pams / NR 20 / Chinese / Box 122 
Pams / NR 20 / Chinese / Box 153 
Pams / NR 20 / Chinese / Box 164 
Pams / NR 20 / Chinese / Box 180 
Pams / NR 20 / Chinese / Box 186 
Pams / NR 20 / Chinese / Box 189 
Pams / NR 20 / Chinese / Box 192 
Pams / NR 20 / Chinese / Box 208 
Pams / NR 20 / Chinese / Box 238 
Pams / NR 20 / Chinese / Box 50 
Pams / NR 20 / Chinese / Box 61 
Pams / NR 20 / Chinese / Box 88 
RUBLC 
Reference 
aas 
beac 
circ 
cjk 
cjkref 
clas 
ctsn 
dixn 
doc 
docs 
docsm 
dr 
dss 
elf1 
elf3 
ex 
exb 
exc 
exca 
exho 
exki 
exme 
exov 
expa 
exrl 
exw 
fac 
facs 
flm 
flmb 
fst 
ga 
gax 
gest 
gestpe 
gp 
gss 
hldn 
hsvc 
hsvm 
hsvr 
htn 
hy 
hygf 
hype 
hyref 
laf 
locked 
map 
maplf 
mapmc 
mic 
mss 
nec 
noncirc 
numrf 
pa 
pam 
pb 
pe 
pf 
ph 
pj 
pk 
pl 
pn 
pres 
princeton 
pt 
pw 
pz 
qk 
ql 
qv 
rcppa 
rdr 
ref 
reserve 
resterm 
sc 
sd 
se 
serial 
shs 
slav 
spia 
spr 
stacks 
sudoc 
theses 
thx 
trv 
un 
vidl 
vrg 
w 
wa 
whs 
wit 
x 
xc 
xg 
xr 
xw 
xx 
zeiss 
