Main	Main Book
Leisure	Leisure
Archives	Archives
BoardGames	Board Games
BookDisplay	Book Dispaly
Career	Career
CD	CD
Coursereserves	Course Reserves
DVD	DVD
Circ	Faculty Personal Copy Shelf
Journals	Journals
Kits	Kits
Laptops	Laptops
MainNoCirc	Main Book Non Circulating
Microfiche	Microfiche
Microfilm	Microfilm
NewBooks	New Books
PALCI	PALCI
RareBooks	Rare Books
ReadyRef	ReadyRef
Reference	Reference
Relais2	Relais2
Cat	Technical Services
VHS	VHS
