E.ASIAN_RM	Waidner-Spahr Library East Asian Room
SCORES	Waidner-Spahr Library Music Scores
OVERSIZE	Waidner-Spahr Library Oversize
STACKS	Waidner-Spahr Library Stacks
STORAGE	Waidner-Spahr Library Storage
CIRC-DESK	Waidner-Spahr Library Circ Desk
REFERENCE
SC
SC-KENNEDY
TOME
