ARTLCKL 
ARTLCKM 
ARTLCKS 
BARCHAS 
BASEMENT 
BENDER 
BIB-INDEX 
BOX-COLL 
BRIT-DOCS 
CALIF-DOCS 
EXPEDITION 
FED-DOCS 
FELTON 
FOLIO 
FOLIO-BAS 
FOLIO-FLAT 
GUNST 
HAS-CA 
HAS-RR 
HASRC 
IC 
INPROCESS 
INTERNET 
INTL-DOCS 
LCK-STOR 
LL-NEWS 
LOCKED-STK 
MANUSCRIPT 
MAP-CASES 
MAP-FILE 
MEDIA-MTXT 
MICROFICHE 
MICROFILM 
MICROTEXT 
MINIATURE 
MISSING 
MM-CDCAB 
MM-DIZOCAB 
MM-OVERSIZ 
MM-STACKS 
NEWS-STKS 
NEWTON 
OVERSIZED 
PAGE-AR 
PAGE-AS 
PAGE-GR 
PAGE-LP 
PAGE-MD 
PAGE-MP 
PAGE-MU 
PAGE-SP 
R-STACKS 
RARE-BOOKS 
RAUB-COLL 
RAUB-NUM 
RBC-30 
RECORDINGS 
REFERENCE 
SAL-FOLIO 
SAL-PAGE 
SAL-TEMP 
SALTURKISH 
SCORES 
SEE-OTHER 
SHELBYSER 
SHELBYTITL 
SOUTH-MEZZ 
SSRC 
SSRC-FICHE 
SSRC-FILM 
SSRC-SSDS 
SSRC-STATS 
STACKS 
STORAGE 
THESES 
TIMO-COLL 
TINY 
U-ARCHIVES 
UARCH-30 
UNCAT 
VAULT 
