STACKS	General Stacks
CURRIC-JUV	Curriculum - Juvenile Non-Fiction
CURRICULUM	Curriculum - Teacher's Resource
CURRIC-FIC	Curriculum - Fiction
OVERSIZE	Oversize
DISPLAY	On Display
FACAUTH	Faculty Publications
THESIS	Thesis
MEDIA - AUDIOCASSETTE	Audiocassette
ARCHIVES	Archives
CLOSED STK	Closed Stacks
GAMES	Games
INTERNET	Internet
MISSING	Missing
PERIODICAL	Periodicals
REFERENCE	Reference
RESERVES	Reserves
SOFTWARE	Media - Software
PROC	Processing Center
MEDIA	Media
