bests	Best Seller
vkcc	Book Shelves
currc	Curric Center
graph	Graphic Novels
paper	Leisure Reading
new	New Books
video	AV Video
cd	Compact Disc
resrv	Reserve
ref	Reference
acq	Acquisitions
arch	Archives
atlas	Atlas
vkcs	Spec Coll
vkct	Spec. Coll. Thesis
storage	storage
